Time,Download,Upload
06:22:12,58.48,58.25
07:22:08,57.3,63.85
08:22:02,58.2,59.77
09:22:07,50.46,44.14
10:22:14,58.18,57.07
11:22:18,54.28,51.48
12:25:14.333330,57.74,56.81
13:22:06.742671,53.85,50.57
14:22:36.593232,55.95,51.06
15:26:13.000985,55.86,47.35
16:38:40.471029,57.43,58.53
17:25:07.055806,55.54,54.4
18:23:58.622257,56.61,54.81
19:22:04.188935,56.86,59.89
20:22:11.150675,58.11,54.89
20:37:04.338176,56.01,34.66
21:22:03.253254,57.75,53.09
22:22:09.091314,55.45,52.44
23:23:01.695123,58.52,59.59
00:20:15.306031,55.57,59.62
